Index,Time(s),Original,Filtered
498,0.031125,-0.587334,0.943467
499,0.031188,-1.176461,0.924068
500,0.031250,-1.500000,0.877257
501,0.031312,-1.176468,0.804604
502,0.031375,-0.587339,0.708096
503,0.031438,-0.406697,0.590300
504,0.031500,-0.770528,0.454663
505,0.031562,-1.111383,0.305486
506,0.031625,-0.862605,0.147472
507,0.031688,-0.162106,-0.014734
508,0.031750,0.312620,-0.176609
509,0.031813,0.175643,-0.333507
510,0.031875,-0.197117,-0.480582
511,0.031937,-0.138027,-0.613144
512,0.032000,0.481759,-0.727185
513,0.032063,1.087184,-0.819570
514,0.032125,1.103659,-0.887808
515,0.032187,0.661293,-0.929806
516,0.032250,0.429774,-0.944005
517,0.032313,0.787890,-0.929807
518,0.032375,1.353068,-0.887809
519,0.032437,1.451971,-0.819571
520,0.032500,0.951073,-0.727186
521,0.032563,0.421819,-0.613145
522,0.032625,0.436611,-0.480582
523,0.032688,0.864344,-0.333506
524,0.032750,1.035831,-0.176607
525,0.032812,0.574035,-0.014732
526,0.032875,-0.135428,0.147474
527,0.032938,-0.414839,0.305487
528,0.033000,-0.125335,0.454664
529,0.033062,0.167904,0.590301
530,0.033125,-0.100413,0.708096
531,0.033188,-0.791764,0.804604
532,0.033250,-1.228971,0.877257
533,0.033312,-1.027143,0.924069
534,0.033375,-0.564215,0.943468
535,0.033438,-0.510435,0.934569
536,0.033500,-0.998037,0.897576
537,0.033563,-1.455905,0.833852
538,0.033625,-1.313860,0.745556
539,0.033687,-0.706703,0.635257
540,0.033750,-0.309015,0.505930
541,0.033813,-0.504589,0.361254
542,0.033875,-0.915628,0.205711
543,0.033937,-0.873460,0.044241
544,0.034000,-0.248659,-0.118284
545,0.034063,0.383482,-0.277287
546,0.034125,0.447663,-0.428293
547,0.034187,0.072534,-0.566745
548,0.034250,-0.074224,-0.688210
549,0.034313,0.383671,-0.788897
550,0.034375,1.060664,-0.865982
551,0.034437,1.280086,-0.917476
552,0.034500,0.904821,-0.941908
553,0.034562,0.502625,-0.938289
554,0.034625,0.642016,-0.906463
555,0.034688,1.188270,-0.847442
556,0.034750,1.468584,-0.763291
557,0.034812,1.102759,-0.656691
558,0.034875,0.473514,-0.530641
559,0.034938,0.256189,-0.388589
560,0.035000,0.587774,-0.234703
561,0.035062,0.901879,-0.073827
562,0.035125,0.632550,0.088986
563,0.035188,-0.081633,0.248948
564,0.035250,-0.562796,0.401604
565,0.035312,-0.424790,0.542583
566,0.035375,-0.043591,0.667511
567,0.035437,-0.087071,0.772361
568,0.035500,-0.684551,0.853947
569,0.035563,-1.261629,0.910101
570,0.035625,-1.244556,0.939413
571,0.035687,-0.764471,0.940947
572,0.035750,-0.492115,0.914351
573,0.035813,-0.807558,0.860240
574,0.035875,-1.329480,0.780403
575,0.035937,-1.385826,0.677524
576,0.036000,-0.844345,0.554728
577,0.036063,-0.277681,0.415413
578,0.036125,-0.259367,0.263464
579,0.036187,-0.659266,0.103470
580,0.036250,-0.809018,-0.059498
581,0.036312,-0.332254,-0.220410
582,0.036375,0.384966,-0.374651
583,0.036438,0.664728,-0.517934
584,0.036500,0.368121,-0.646054
585,0.036562,0.060557,-0.754934
586,0.036625,0.307761,-0.841070
587,0.036688,0.971778,-0.901958
588,0.036750,1.376306,-0.936093
589,0.036812,1.137419,-0.942633
590,0.036875,0.634150,-0.921208
591,0.036938,0.537941,-0.872148
592,0.037000,0.982299,-0.796852
593,0.037062,1.397378,-0.697826
594,0.037125,1.214309,-0.578279
595,0.037188,0.569045,-0.441709
596,0.037250,0.137424,-0.291877
597,0.037313,0.304105,-0.133070
598,0.037375,0.692287,0.029809
599,0.037437,0.633878,0.191599
600,0.037500,-0.000030,0.347423
601,0.037563,-0.633867,0.492899
602,0.037625,-0.692294,0.623958
603,0.037687,-0.304115,0.736634
604,0.037750,-0.137419,0.827264
605,0.037813,-0.569070,0.892974
606,0.037875,-1.214298,0.931982
607,0.037937,-1.397382,0.943433
608,0.038000,-0.982309,0.927049
609,0.038063,-0.537933,0.883056
610,0.038125,-0.634143,0.812503
611,0.038188,-1.137440,0.717552
612,0.038250,-1.376306,0.601340
613,0.038312,-0.971787,0.467502
614,0.038375,-0.307740,0.319850
615,0.038438,-0.060565,0.162473
616,0.038500,-0.368118,-0.000005
617,0.038562,-0.664724,-0.162482
618,0.038625,-0.384972,-0.319859
619,0.038688,0.332246,-0.467510
620,0.038750,0.809019,-0.601347
621,0.038812,0.659269,-0.717558
622,0.038875,0.259353,-0.812507
623,0.038938,0.277694,-0.883060
624,0.039000,0.844336,-0.927052
625,0.039062,1.385822,-0.943435
626,0.039125,1.329485,-0.931983
627,0.039187,0.807567,-0.892975
628,0.039250,0.492114,-0.827265
629,0.039313,0.764462,-0.736635
630,0.039375,1.244549,-0.623958
631,0.039437,1.261632,-0.492900
632,0.039500,0.684524,-0.347423
633,0.039563,0.087074,-0.191600
634,0.039625,0.043591,-0.029810
635,0.039687,0.424780,0.133069
636,0.039750,0.562795,0.291876
637,0.039813,0.081577,0.441708
638,0.039875,-0.632544,0.578277
639,0.039937,-0.901876,0.697825
640,0.040000,-0.587784,0.796852
641,0.040062,-0.256193,0.872147
642,0.040125,-0.473533,0.921207
643,0.040188,-1.102751,0.942631
644,0.040250,-1.468582,0.936091
645,0.040312,-1.188279,0.901955
646,0.040375,-0.642001,0.841066
647,0.040438,-0.502621,0.754929
648,0.040500,-0.904841,0.646047
649,0.040562,-1.280087,0.517926
650,0.040625,-1.060671,0.374642
651,0.040688,-0.383645,0.220401
652,0.040750,0.074224,0.059488
653,0.040812,-0.072525,-0.103480
654,0.040875,-0.447663,-0.263474
655,0.040937,-0.383485,-0.415421
656,0.041000,0.248687,-0.554736
657,0.041063,0.873457,-0.677530
658,0.041125,0.915635,-0.780408
659,0.041187,0.504565,-0.860244
660,0.041250,0.309020,-0.914353
661,0.041313,0.706691,-0.940949
662,0.041375,1.313853,-0.939413
663,0.041437,1.455909,-0.910101
664,0.041500,0.998047,-0.853945
665,0.041563,0.510425,-0.772358
666,0.041625,0.564211,-0.667508
667,0.041687,1.027134,-0.542579
668,0.041750,1.228970,-0.401600
669,0.041813,0.791738,-0.248943
670,0.041875,0.100420,-0.088981
671,0.041938,-0.167901,0.073831
672,0.042000,0.125325,0.234706
673,0.042062,0.414835,0.388591
674,0.042125,0.135384,0.530642
675,0.042188,-0.574026,0.656690
676,0.042250,-1.035825,0.763289
